location,"[{'Header 2': '23. Contact Information'}, {'Header 2': '6. Fees and Charges'}, {'Header 2': '5. Services'}, {'Header 2': '23. Contact Information'}]"
text,"['[background-image:conic-gradient(from_-90deg_at_50%_50%,_var(--tw-gradient-stops)_0deg,_var(--tw-gradient-stops)_90deg,_var(--tw-gradient-stops)_280deg)] dark:from-light-4/6\\""}]}]}]}],\\""children\\"":[\\""$\\"",\\""p\\"",null,{\\""className\\"":\\""max-w-3xl w-full mx-auto decoration-primary/6 page-api-block:ml-0\\"",\\""children\\"":[[[\\""$\\"",\\""$30\\"",\\""0\\"",{\\""children\\"":\\""6.1. Fee Structure: Mountain Protocol provides transparency in its fee structure by ensuring that all fees, including those charged by the company', '6. Fees and Charges \n \n /$ $ 6.1. Fee Structure: Mountain Protocol provides transparency in its fee structure by ensuring that all fees, including those charged by the company and any applicable partners, are netted from the yield quoted to users. By using our services, you acknowledge and agree that the yield displayed to you already accounts for these fees, providing a clear understanding of the net yield you can expect.', 'You will not be entitled to receive any interest or other fees on any USDM held in your account other than the rewards as set out in this paragraph 5.2., even if we receive interest or other amounts from any third parties on the USDM Reserves held. You acknowledge and agree that interest or other amounts earned in respect of the USDM Reserves that do not form part of the rewards as set out in this paragraph 5.2 is paid to Mountain Protocol as a management fee and no USDM holder has an', 'be entitled to receive any interest or other fees on any USDM held in your account other than the rewards as set out in this paragraph 5.2., even if we receive interest or other amounts from any third parties on the USDM Reserves held. You acknowledge and agree that interest or other amounts earned in respect of the USDM Reserves that do not form part of the rewards as set out in this paragraph 5.2 is paid to Mountain Protocol as a management fee and no USDM holder has an entitlement to such']"
result,True
explain,"Â© Hashnote Â 2022-2024 
 
 Terms and Conditions Privacy Policy Legal Disclosures Cookie Preference
We may, without prior notice or warning of any kind, restrict or terminate the access of any and all users to the Site if we reasonably conclude that such restriction or termination is necessary to prevent, or prevent the further spread, of a virus, security breach or system malfunction.
Content or other materials contained on the Site should be construed or relied upon as investment, legal, accounting, tax or other professional advice or in connection with any offer or sale of securities. Any transactions listed on the Site are included as representative transactions and are not necessarily reflective of overall performance. â
revise any information on the Site, whether as a result of new information, future developments or otherwise. Opinions and any other Contents at the Site are subject to change without notice. Hashnote is not utilizing the Site to provide investment or other advice, and no information or material at the Site is to be deemed a recommendation to buy or sell any securities or is to be relied upon for the purpose of making or communicating investment or other decisions. In addition, no information,"
location,"[{'Header 4': 'â\x80\x8dArbitration'}, {'Header 4': 'â\x80\x8dSite Security'}, {'Header 4': 'â\x80\x8dNo Offers or Reliance'}, {'Header 4': 'â\x80\x8dNo Offers or Reliance'}]"
text,"['Â© Hashnote Â\xa02022-2024 \n \n Terms and Conditions Privacy Policy Legal Disclosures Cookie Preference', 'We may, without prior notice or warning of any kind, restrict or terminate the access of any and all users to the Site if we reasonably conclude that such restriction or termination is necessary to prevent, or prevent the further spread, of a virus, security breach or system malfunction.', 'Content or other materials contained on the Site should be construed or relied upon as investment, legal, accounting, tax or other professional advice or in connection with any offer or sale of securities. Any transactions listed on the Site are included as representative transactions and are not necessarily reflective of overall performance. â\x80\x8d', 'revise any information on the Site, whether as a result of new information, future developments or otherwise. Opinions and any other Contents at the Site are subject to change without notice. Hashnote is not utilizing the Site to provide investment or other advice, and no information or material at the Site is to be deemed a recommendation to buy or sell any securities or is to be relied upon for the purpose of making or communicating investment or other decisions. In addition, no information,']"
result,False
explain,
location,[]
text,[]
result,True
explain,"Contact 
 Book a Call E-mail Twitter Telegram LinkedIn YouTube 
 
 Â© 2024 Aktionariat AG 
 All rights reserved. 
 
 
 
.text-gradient-1
{
  -webkit-box-decoration-break:
	clone;
}
.text-gradient-2
{
  -webkit-box-decoration-break:
	clone;
}
.text-gradient-3
{
  -webkit-box-decoration-break:
	clone;
}
Legal & privacy 
 Terms of Service Privacy Policy Impressum
4 Rights & Obligations of User
changes to the Services, i.e., changes significantly altering the nature and scope of the Services provided to the User according to the Agreement, the Company will notify the Users that are directly affected by such changes, and where reasonably possible."
location,"[{'Header 3': 'Contact'}, {'Header 3': 'Legal & privacy'}, {'Header 4': '4 Rights & Obligations of User'}, {'Header 4': '3 Rights & Obligations of Company'}]"
text,"['Contact \n Book a Call E-mail Twitter Telegram LinkedIn YouTube \n \n Â© 2024 Aktionariat AG \n All rights reserved. \n \n \n \n.text-gradient-1\n{\n  -webkit-box-decoration-break:\n\tclone;\n}\n.text-gradient-2\n{\n  -webkit-box-decoration-break:\n\tclone;\n}\n.text-gradient-3\n{\n  -webkit-box-decoration-break:\n\tclone;\n}', 'Legal & privacy \n Terms of Service Privacy Policy Impressum', '4 Rights & Obligations of User', 'changes to the Services, i.e., changes significantly altering the nature and scope of the Services provided to the User according to the Agreement, the Company will notify the Users that are directly affected by such changes, and where reasonably possible.']"
result,True
explain,"mining, minting or issuing of new tokens, airdrops, the burning of tokens and blockchain forks). You understand that Ethereum and other blockchain technologies and associated Digital Assets, currencies or tokens are highly volatile due to many factors including but not limited to adoption, speculation, technology and security risks. You also acknowledge that the cost of transacting on such technologies is variable and may increase at any time causing impact to any activities taking place on the
We do not charge any fees for use of Services or the Interface. We do not provide any services to users or deliver, hold, and/or receive payment for cryptoassets.  However, note that in connection with your use of the Services, you agree to bear all costs necessary to conduct a transaction on the blockchain, such as gas fees. We attempt to provide accurate cost information, but this information is highly volatile and can change quickly without Users necessarily being aware of these changes.
Copyright ©   2024    Angle Labs Inc.    All rights reserved. 
 Terms | Privacy
Are aware of related risks By utilizing the Services or interacting with the Interface in any way, you represent that you perfectly understand the inherent risks associated with smart contracts and cryptographic system (included but not limited to volatility of cryptocurrencies, risk of regulatory actions, risks of technical issues) as disclosed thereafter and warrant that you have a very good understanding of the usage of cryptographic assets. 
 Shall not do any trolling activities:"
location,"[{'Header 4': ""IV. User's Representations & Warranties and Acknowledgements""}, {'Header 4': 'III. Services'}, {'Header 4': 'VIII. General Provisions'}, {'Header 4': ""IV. User's Representations & Warranties and Acknowledgements""}]"
text,"['mining, minting or issuing of new tokens, airdrops, the burning of tokens and blockchain forks). You understand that Ethereum and other blockchain technologies and associated Digital Assets, currencies or tokens are highly volatile due to many factors including but not limited to adoption, speculation, technology and security risks. You also acknowledge that the cost of transacting on such technologies is variable and may increase at any time causing impact to any activities taking place on the', 'We do not charge any fees for use of Services or the Interface. We do not provide any services to users or deliver, hold, and/or receive payment for cryptoassets.  However, note that in connection with your use of the Services, you agree to bear all costs necessary to conduct a transaction on the blockchain, such as gas fees. We attempt to provide accurate cost information, but this information is highly volatile and can change quickly without Users necessarily being aware of these changes.', 'Copyright ©   2024    Angle Labs Inc.    All rights reserved. \n Terms | Privacy', 'Are aware of related risks By utilizing the Services or interacting with the Interface in any way, you represent that you perfectly understand the inherent risks associated with smart contracts and cryptographic system (included but not limited to volatility of cryptocurrencies, risk of regulatory actions, risks of technical issues) as disclosed thereafter and warrant that you have a very good understanding of the usage of cryptographic assets. \n Shall not do any trolling activities:']"
result,False
explain,
location,[]
text,[]
